index,label,r,g,b,L_cie,a_cie,b_cie
1,1  Dark Skin,115,82,68,37.986,13.555,14.059
2,2  Light Skin,194,150,130,65.711,18.13,17.81
3,3  Blue Sky,98,122,157,49.927,-4.88,-21.925
4,4  Foliage,87,108,67,43.139,-13.095,21.905
5,5  Blue Flower,133,128,177,55.112,8.844,-25.399
6,6  Bluish Green,103,189,170,70.719,-33.397,-0.199
7,7  Orange,214,126,44,62.661,36.067,57.096
8,8  Purplish Blue,80,91,166,40.02,10.41,-45.964
9,9  Moderate Red,193,90,99,51.124,48.239,16.248
10,10 Purple,94,60,108,30.325,22.976,-21.587
11,11 Yellow Green,157,188,64,72.532,-23.709,57.255
12,12 Orange Yellow,224,163,46,71.941,19.363,67.857
13,13 Blue,56,61,150,28.778,14.179,-50.297
14,14 Green,70,148,73,55.261,-38.342,31.37
15,15 Red,175,54,60,42.101,53.378,28.19
16,16 Yellow,231,199,31,81.733,4.039,79.819
17,17 Magenta,187,86,149,51.935,49.986,-14.574
18,18 Cyan,8,133,161,51.038,-28.631,-28.638
19,19 White,243,243,242,96.539,-0.425,1.186
20,20 Neutral 8,200,200,200,81.257,-0.638,-0.335
21,21 Neutral 6.5,160,160,160,66.766,-0.734,-0.504
22,22 Neutral 5,122,122,121,50.867,-0.153,-0.27
23,23 Neutral 3.5,85,85,85,35.656,-0.421,-1.231
24,24 Black,52,52,52,20.461,-0.079,-0.973